交易日期 ,融资余额（上海）,融资余额（深圳）,融资余额（合计）,本日融资买入（上海）,本日融资买入（深圳）,本日融资买入（合计）,本日融券余额（上海）,本日融券余额（深圳）,本日融券余额（合计）,本日融资融券余额（上海）,本日融资融券余额（深圳）,本日融资融券余额（合计）
2016-09-27,494949863817,391522116061,886471979878,14803735855,15441692919,30245428774,2904498020,937329013,3841827033,497854361837,392459445074,890313806911
2016-09-26,495311007534,391915973566,887226981100,18398310421,18130939706,36529250127,2921256301,931878756,3853135057,498232263835,392847852322,891080116157
2016-09-23,495548458994,392478028148,888026487142,15777430126,16623272527,32400702653,2757532261,954616637,3712148898,498305991255,393432644785,891738636040
2016-09-22,497769188223,394417716166,892186904389,18424362327,19015214028,37439576355,2842252320,999040713,3841293033,500611440543,395416756879,896028197422
2016-09-21,498866810752,394829065691,893695876443,14949437717,15850972394,30800410111,2786995059,986778800,3773773859,501653805811,395815844491,897469650302
2016-09-20,498636196708,394236340314,892872537022,15176233151,14501641046,29677874197,2789447018,947959658,3737406676,501425643726,395184299972,896609943698
2016-09-19,497965398653,394070119476,892035518129,15970987319,15153218532,31124205851,2886141226,936748575,3822889801,500851539879,395006868051,895858407930
2016-09-14,496229314357,393414861047,889644175404,15678069181,16312385246,31990454427,2560130168,889788953,3449919121,498789444525,394304650000,893094094525
2016-09-13,499635099269,396391203565,896026302834,18045851868,18843872803,36889724671,2715487728,948217312,3663705040,502350586997,397339420877,899690007874
2016-09-12,499740145178,397396740923,897136886101,25293646673,25079428803,50373075476,2893896356,929227492,3823123848,502634041534,398325968415,900960009949
2016-09-09,501701136676,398710811034,900411947710,21402589584,22704002910,44106592494,2887751901,945092502,3832844403,504588888577,399655903536,904244792113
2016-09-08,503708906192,400149497276,903858403468,19861671600,22319623903,42181295503,2941733401,985531294,3927264695,506650639593,401135028570,907785668163
2016-09-07,503273563343,399149369472,902422932815,25787343636,26094578704,51881922340,3021243613,954426327,3975669940,506294806956,400103795799,906398602755
2016-09-06,503013816371,399371816383,902385632754,24868965139,27821018520,52689983659,2942855884,944032443,3886888327,505956672255,400315848826,906272521081
2016-09-05,500516748119,395605122665,896121870784,19738718257,17748067803,37486786060,2926669963,884170548,3810840511,503443418082,396489293213,899932711295
2016-09-02,499592197550,395974853401,895567050951,19720914539,19202021248,38922935787,3055378796,871117401,3926496197,502647576346,396845970802,899493547148
2016-09-01,501535695782,397570811304,899106507086,20956719333,20916321134,41873040467,3021949312,891846504,3913795816,504557645094,398462657808,903020302902
2016-08-31,501716007963,397999248893,899715256856,20539638820,20920039177,41459677997,2972281463,901468958,3873750421,504688289426,398900717851,903589007277
2016-08-30,501004637549,396776383866,897781021415,18127747375,19205781586,37333528961,2942132684,854135336,3796268020,503946770233,397630519202,901577289435
2016-08-29,501477435834,396330195592,897807631426,19262597443,19446515943,38709113386,2723176228,821525361,3544701589,504200612062,397151720953,901352333015
2016-08-26,499937745356,395649660961,895587406317,20244740587,21635063284,41879803871,2648511173,825323999,3473835172,502586256529,396474984960,899061241489
2016-08-25,500791792381,396900530333,897692322714,23464991931,22633766687,46098758618,2748060930,887214029,3635274959,503539853311,397787744362,901327597673
2016-08-24,500400801436,397106022692,897506824128,20520998519,19969756603,40490755122,2753149425,869404393,3622553818,503153950861,397975427085,901129377946
