#,Movie,Year,Rating,Link,Quote
1,肖申克的救赎,1994,9.6,https://movie.douban.com/subject/1292052/, 希望让人自由。 
2,这个杀手不太冷,1994,9.4,https://movie.douban.com/subject/1295644/, 怪蜀黍和小萝莉不得不说的故事。 
3,霸王别姬,1993,9.5,https://movie.douban.com/subject/1291546/, 风华绝代。 
4,阿甘正传,1994,9.4,https://movie.douban.com/subject/1292720/, 一部美国近现代史。 
5,美丽人生,1997,9.5,https://movie.douban.com/subject/1292063/, 最美的谎言。 
6,千与千寻,2001,9.2,https://movie.douban.com/subject/1291561/, 最好的宫崎骏，最好的久石让。  
7,辛德勒的名单,1993,9.4,https://movie.douban.com/subject/1295124/, 拯救一个人，就是拯救整个世界。 
8,海上钢琴师,1998,9.2,https://movie.douban.com/subject/1292001/, 每个人都要走一条自己坚定了的路，就算是粉身碎骨。  
9,机器人总动员,2008,9.3,https://movie.douban.com/subject/2131459/, 小瓦力，大人生。 
10,盗梦空间,2010,9.2,https://movie.douban.com/subject/3541415/, 诺兰给了我们一场无法盗取的梦。 
11,泰坦尼克号,1997,9.1,https://movie.douban.com/subject/1292722/, 失去的才是永恒的。  
12,三傻大闹宝莱坞,2009,9.1,https://movie.douban.com/subject/3793023/, 英俊版憨豆，高情商版谢耳朵。 
13,放牛班的春天,2004,9.2,https://movie.douban.com/subject/1291549/, 天籁一般的童声，是最接近上帝的存在。  
14,忠犬八公的故事,2009,9.2,https://movie.douban.com/subject/3011091/, 永远都不能忘记你所爱的人。 
15,大话西游之大圣娶亲,1995,9.1,https://movie.douban.com/subject/1292213/, 一生所爱。 
16,龙猫,1988,9.1,https://movie.douban.com/subject/1291560/, 人人心中都有个龙猫，童年就永远不会消失。 
17,教父,1972,9.2,https://movie.douban.com/subject/1291841/, 千万不要记恨你的对手，这样会让你失去理智。 
18,乱世佳人,1939,9.2,https://movie.douban.com/subject/1300267/, Tomorrow is another day. 
19,天堂电影院,1988,9.1,https://movie.douban.com/subject/1291828/, 那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。 
20,楚门的世界,1998,9.0,https://movie.douban.com/subject/1292064/, 如果再也不能见到你，祝你早安，午安，晚安。 
21,当幸福来敲门,2006,8.9,https://movie.douban.com/subject/1849031/, 平民励志片。  
22,搏击俱乐部,1999,9.0,https://movie.douban.com/subject/1292000/, 邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。 
23,触不可及,2011,9.1,https://movie.douban.com/subject/6786002/, 满满温情的高雅喜剧。 
24,指环王3：王者无敌,2003,9.1,https://movie.douban.com/subject/1291552/, 史诗的终章。 
25,十二怒汉,1957,9.3,https://movie.douban.com/subject/1293182/, 1957年的理想主义。  
26,罗马假日,1953,8.9,https://movie.douban.com/subject/1293839/, 爱情哪怕只有一天。 
27,怦然心动,2010,8.9,https://movie.douban.com/subject/3319755/, 真正的幸福是来自内心深处。 
28,天空之城,1986,9.0,https://movie.douban.com/subject/1291583/, 对天空的追逐，永不停止。  
29,两杆大烟枪,1998,9.0,https://movie.douban.com/subject/1293350/, 4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。 
30,无间道,2002,8.9,https://movie.douban.com/subject/1307914/, 香港电影史上永不过时的杰作。 
31,飞屋环游记,2009,8.9,https://movie.douban.com/subject/2129039/, 最后那些最无聊的事情，才是最值得怀念的。  
32,大话西游之月光宝盒,1995,8.9,https://movie.douban.com/subject/1299398/, 旷古烁今。 
33,少年派的奇幻漂流,2012,9.0,https://movie.douban.com/subject/1929463/, 瑰丽壮观、无人能及的冒险之旅。 
34,飞越疯人院,1975,9.0,https://movie.douban.com/subject/1292224/, 自由万岁。 
35,鬼子来了,2000,9.1,https://movie.douban.com/subject/1291858/, 对敌人的仁慈，就是对自己残忍。 
36,海豚湾,2009,9.3,https://movie.douban.com/subject/3442220/, 海豚的微笑，是世界上最高明的伪装。 
37,蝙蝠侠：黑暗骑士,2008,9.0,https://movie.douban.com/subject/1851857/, 无尽的黑暗。 
38,窃听风暴,2006,9.1,https://movie.douban.com/subject/1900841/, 别样人生。 
39,熔炉,2011,9.1,https://movie.douban.com/subject/5912992/, 我们一路奋战不是为了改变世界，而是为了不让世界改变我们。 
40,活着,1994,9.0,https://movie.douban.com/subject/1292365/, 张艺谋最好的电影。 
41,V字仇杀队,2005,8.8,https://movie.douban.com/subject/1309046/, 一张面具背后的理想与革命。 
42,闻香识女人,1992,8.9,https://movie.douban.com/subject/1298624/, 史上最美的探戈。 
43,天使爱美丽,2001,8.7,https://movie.douban.com/subject/1292215/, 法式小清新。  
44,美丽心灵,2001,8.9,https://movie.douban.com/subject/1306029/, 爱是一切逻辑和原由。 
45,指环王2：双塔奇兵,2002,8.9,https://movie.douban.com/subject/1291572/, 承前启后的史诗篇章。 
46,指环王1：魔戒再现,2001,8.9,https://movie.douban.com/subject/1291571/, 传说的开始。 
47,教父2,1974,9.1,https://movie.douban.com/subject/1299131/, 优雅的孤独。 
48,哈尔的移动城堡,2004,8.8,https://movie.douban.com/subject/1308807/, 带着心爱的人在天空飞翔。 
49,星际穿越,2014,9.1,https://movie.douban.com/subject/1889243/, 爱是一种力量，让我们超越时空感知它的存在。 
50,七宗罪,1995,8.7,https://movie.douban.com/subject/1292223/, 警察抓小偷，老鼠玩死猫。 
51,情书,1995,8.8,https://movie.douban.com/subject/1292220/, 暗恋的极致。 
52,死亡诗社,1989,8.9,https://movie.douban.com/subject/1291548/, 当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。 
53,美国往事,1984,9.1,https://movie.douban.com/subject/1292262/, 往事如烟，无处祭奠。 
54,勇敢的心,1995,8.8,https://movie.douban.com/subject/1294639/, 史诗大片的典范。 
55,剪刀手爱德华,1990,8.7,https://movie.douban.com/subject/1292370/, 浪漫忧郁的成人童话。 
56,钢琴家,2002,9.0,https://movie.douban.com/subject/1296736/, 音乐能化解仇恨。 
57,致命魔术,2006,8.8,https://movie.douban.com/subject/1780330/, 孪生蝙蝠侠大战克隆金刚狼。 
58,狮子王,1994,8.8,https://movie.douban.com/subject/1301753/, 动物版《哈姆雷特》。 
59,被嫌弃的松子的一生,2006,8.9,https://movie.douban.com/subject/1787291/, 以戏谑来戏谑戏谑。 
60,音乐之声,1965,8.9,https://movie.douban.com/subject/1294408/, 用音乐化解仇恨，让歌声串起美好。 
61,小鞋子,1999,9.1,https://movie.douban.com/subject/1303021/, 奔跑的孩子是天使。 
62,低俗小说,1994,8.7,https://movie.douban.com/subject/1291832/, 故事的高级讲法。 
63,入殓师,2008,8.8,https://movie.douban.com/subject/2149806/, 死可能是一道门，逝去并不是终结，而是超越，走向下一程。 
64,蝴蝶效应,2004,8.7,https://movie.douban.com/subject/1292343/, 人的命运被自己瞬间的抉择改变。 
65,玛丽和马克思,2009,8.9,https://movie.douban.com/subject/3072124/, 你是我最好的朋友，你是我唯一的朋友 。 
66,沉默的羔羊,1991,8.7,https://movie.douban.com/subject/1293544/, 安东尼·霍普金斯的顶级表演。 
67,本杰明·巴顿奇事,2008,8.7,https://movie.douban.com/subject/1485260/, 在时间之河里感受溺水之苦。 
68,辩护人,2013,9.1,https://movie.douban.com/subject/21937445/, 电影的现实意义大过电影本身。 
69,黑客帝国,1999,8.7,https://movie.douban.com/subject/1291843/, 视觉革命。 
70,饮食男女,1994,8.9,https://movie.douban.com/subject/1291818/, 人生不能像做菜，把所有的料都准备好了才下锅。 
71,拯救大兵瑞恩,1998,8.8,https://movie.douban.com/subject/1292849/, 美利坚精神输出大片No1. 
72,西西里的美丽传说,2000,8.7,https://movie.douban.com/subject/1292402/, 美丽无罪。 
73,幽灵公主,1997,8.8,https://movie.douban.com/subject/1297359/, 人与自然的战争史诗。 
74,心灵捕手,1997,8.7,https://movie.douban.com/subject/1292656/, 人生中应该拥有这样的一段豁然开朗。 
75,第六感,1999,8.8,https://movie.douban.com/subject/1297630/, 深入内心的恐怖，出人意料的结局。 
76,大鱼,2003,8.7,https://movie.douban.com/subject/1291545/, 抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。 
77,控方证人,1957,9.5,https://movie.douban.com/subject/1296141/, 比利·怀德满分作品。 
78,阳光灿烂的日子,1994,8.7,https://movie.douban.com/subject/1291875/, 一场华丽的意淫。 
79,让子弹飞,2010,8.7,https://movie.douban.com/subject/3742360/, 你给我翻译翻译，神马叫做TMD的惊喜。 
80,射雕英雄传之东成西就,1993,8.7,https://movie.douban.com/subject/1316510/, 百看不厌。  
81,阳光姐妹淘,2011,8.8,https://movie.douban.com/subject/4917726/, 再多各自牛逼的时光，也比不上一起傻逼的岁月。  
82,上帝之城,2002,8.9,https://movie.douban.com/subject/1292208/, 被上帝抛弃了的上帝之城。 
83,大闹天宫,1961,9.2,https://movie.douban.com/subject/1418019/, 经典之作，历久弥新。 
84,春光乍泄,1997,8.7,https://movie.douban.com/subject/1292679/, 爱情纠缠，男女一致。 
85,重庆森林,1994,8.6,https://movie.douban.com/subject/1291999/, 寂寞没有期限。 
86,萤火虫之墓,1988,8.7,https://movie.douban.com/subject/1293318/, 幸福是生生不息，却难以触及的远。  
87,素媛,2013,9.0,https://movie.douban.com/subject/21937452/, 受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。 
88,禁闭岛,2010,8.6,https://movie.douban.com/subject/2334904/, 昔日翩翩少年，今日大腹便便。 
89,致命ID,2003,8.6,https://movie.douban.com/subject/1297192/, 最不可能的那个人永远是最可能的。 
90,告白,2010,8.6,https://movie.douban.com/subject/4268598/, 没有一人完全善，也没有一人完全恶。 
91,甜蜜蜜,1996,8.7,https://movie.douban.com/subject/1305164/, 逢只要一瞬间，等待却像是一辈子。 
92,一一,2000,8.9,https://movie.douban.com/subject/1292434/, 我们都曾经是一一。 
93,爱在黎明破晓前,1995,8.7,https://movie.douban.com/subject/1296339/, 缘分是个连绵词，最美不过一瞬。 
94,加勒比海盗,2003,8.5,https://movie.douban.com/subject/1298070/, 约翰尼·德普的独角戏。 
95,阿凡达,2009,8.6,https://movie.douban.com/subject/1652587/, 绝对意义上的美轮美奂。 
96,风之谷,1984,8.8,https://movie.douban.com/subject/1291585/, 动画片的圣经。 
97,爱在日落黄昏时,2004,8.7,https://movie.douban.com/subject/1291990/, 九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。 
98,侧耳倾听,1995,8.8,https://movie.douban.com/subject/1297052/, 少女情怀总是诗。 
99,驯龙高手,2010,8.7,https://movie.douban.com/subject/2353023/, 和谐的生活离不开摸头与被摸头。 
100,海洋,2009,9.0,https://movie.douban.com/subject/3443389/, 大海啊，不全是水。 
101,燃情岁月,1994,8.8,https://movie.douban.com/subject/1295865/, 传奇，不是每个人都可以拥有。 
102,布达佩斯大饭店,2014,8.7,https://movie.douban.com/subject/11525673/, 小清新的故事里注入了大历史的情怀。 
103,断背山,2005,8.5,https://movie.douban.com/subject/1418834/, 每个人心中都有一座断背山。 
104,猫鼠游戏,2002,8.7,https://movie.douban.com/subject/1305487/, 骗子大师和执著警探的你追我跑故事。  
105,超脱,2011,8.7,https://movie.douban.com/subject/5322596/, 穷尽一生，我们要学会的，不过是彼此拥抱。 
